"city","state","lat","lng","population","Business Freedom","Commute","Cost of Living","Economy","Education","Environmental Quality","Healthcare","Housing","Internet Access","Leisure & Culture","Outdoors","Safety","Startups","Taxation","Tolerance","Travel Connectivity","Venture Capital"
"Dallas","TX",32.7935,-96.7667,5668165,8.671,4.4705,6.091,6.5145,4.284,6.693,8.43933333333333,5.259,6.461,7.1685,4.502,4.339,7.9395,4.772,5.294,4.7465,4.916
"Daly City","CA",37.6862,-122.4685,104914,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Davie","FL",26.0789,-80.287,104782,8.671,4.05275,4.497,6.5145,4.3945,6.292,8.529,3.031,5.824,6.7675,5.3845,4.321,8.0225,4.772,6.0435,4.169,5.055
"Dayton","KY",39.1127,-84.4639,5641,8.671,4.7435,6.108,6.5145,4.2805,7.1095,8.638,6.6775,6.512,6.118,3.6075,4.975,6.0995,3.9205,5.299,1.9265,2.709
"Dayton","MN",45.1906,-93.4758,7257,8.671,4.925,5.042,6.5145,5.2745,8.362,8.972,4.7385,6.2585,6.8505,5.096,5.085,6.5265,4.062,7.288,3.544,5.523
"Dayton","OR",45.2198,-123.0781,2672,8.671,4.908,4.924,6.5145,4.2155,8.4595,8.59666666666667,4.138,5.9685,6.2195,6.304,5.1805,6.957,3.9205,8.1595,2.2405,5.899
"Dayton","TX",30.0315,-94.9158,8569,8.671,4.03075,6.162,6.5145,4.928,5.3045,8.611,5.2245,6.2485,7.144,5.386,3.129,7.9345,4.772,5.34,4.3385,4.474
"Dearborn Heights","MI",42.3164,-83.2769,62334,8.671,0.933,6.032,6.5145,5.8185,4.04675,8.279,6.223,6.167,7.478,5.3875,4.4615,5.4015,3.7785,3.678,3.6405,5.184
"Dearborn","MI",42.3127,-83.213,107985,8.671,0.933,6.032,6.5145,5.8185,4.04675,8.279,6.223,6.167,7.478,5.3875,4.4615,5.4015,3.7785,3.678,3.6405,5.184
"Deerfield Beach","FL",26.305,-80.1277,86062,8.671,4.05275,4.497,6.5145,4.3945,6.292,8.529,3.031,5.824,6.7675,5.3845,4.321,8.0225,4.772,6.0435,4.169,5.055
"Deerfield","IL",42.1654,-87.8516,19228,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Denver","CO",39.762,-104.8758,2650725,8.671,4.53,5.102,6.5145,3.6245,7.11675,8.61566666666667,3.8375,5.4185,6.2235,7.933,5.371,7.8645,4.346,7.8605,4.243,6.117
"Des Moines","IA",41.5725,-93.6105,514654,8.671,2.07225,6.327,6.5145,3.6245,8.68225,8.84133333333333,6.851,5.698,6.0665,3.2995,6.984,2.912,4.346,8.4765,1.379,1.818
"Des Moines","WA",47.3914,-122.3156,32631,8.671,4.52375,3.79,6.5145,5.7145,7.56025,8.72433333333333,2.291,4.9405,8.1155,7.2095,5.6365,8.367,4.772,8.0895,2.8845,7.551
"Detroit","MI",42.3834,-83.1024,3522856,8.671,0.933,6.032,6.5145,5.8185,4.04675,8.279,6.223,6.167,7.478,5.3875,4.4615,5.4015,3.7785,3.678,3.6405,5.184
"Dover","FL",27.9927,-82.2198,3444,8.671,1.40075,5.253,6.5145,4.2805,7.37875,8.78166666666667,5.696,7.195,6.434,5.497,4.7065,6.347,4.772,5.36,2.9055,3.778
"Dover","OH",40.5304,-81.4806,13083,8.671,4.42125,5.595,6.5145,4.6185,7.2505,8.899,7.156,5.4765,5.6965,4.669,3.637,4.961,3.9205,4.7755,2.0775,3.646
"Draper","UT",40.4957,-111.8605,49978,8.671,4.574,6.172,6.5145,4.2805,6.21575,8.81866666666667,6.141,6.8105,5.932,6.641,5.657,6.3,4.204,8.6225,2.737,7.09
"Dublin","CA",37.7161,-121.8963,69818,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Dublin","OH",40.1112,-83.1454,48613,8.671,5.02675,5.746,6.5145,5.0475,8.166,8.689,6.2895,4.5535,6.466,4.545,5.2815,5.8785,3.9205,5.9215,1.663,4.973
"Duluth","GA",34.0053,-84.1492,31506,8.671,3.89775,5.241,6.5145,6.457,5.81775,8.534,4.9755,6.4805,7.7655,5.0095,2.6725,8.835,4.204,4.062,5.2915,7.257
"Durham","NC",35.9792,-78.9022,399762,8.671,4.78425,5.61,6.5145,7.1165,8.58375,8.96666666666667,6.1285,7.9515,6.613,3.3905,6.5225,5.497,4.062,7.562,1.757,5.157
"Durham","OR",45.3941,-122.758,2073,8.671,4.908,4.924,6.5145,4.2155,8.4595,8.59666666666667,4.138,5.9685,6.2195,6.304,5.1805,6.957,3.9205,8.1595,2.2405,5.899
"Eagan","MN",44.817,-93.1638,68205,8.671,4.925,5.042,6.5145,5.2745,8.362,8.972,4.7385,6.2585,6.8505,5.096,5.085,6.5265,4.062,7.288,3.544,5.523
"East Rutherford","NJ",40.8179,-74.0854,9918,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Eden Prairie","MN",44.8488,-93.4595,64048,8.671,4.925,5.042,6.5145,5.2745,8.362,8.972,4.7385,6.2585,6.8505,5.096,5.085,6.5265,4.062,7.288,3.544,5.523
"Edgewater","CO",39.7508,-105.0627,5047,8.671,4.53,5.102,6.5145,3.6245,7.11675,8.61566666666667,3.8375,5.4185,6.2235,7.933,5.371,7.8645,4.346,7.8605,4.243,6.117
"Edgewater","MD",38.9373,-76.5572,9075,8.671,4.457,3.595,6.5145,5.9685,6.99375,8.49066666666667,1.2105,3.8255,10,5.0235,2.1915,8.774,4.062,6.5495,4.505,8.056
"Edgewater","NJ",40.8237,-73.974,14234,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"El Segundo","CA",33.917,-118.4018,17243,8.57466666666667,3.677,4.556,6.5145,8.6245,4.7315,8.43966666666667,1.5275,5.4965,9.196,6.747,5.705,10,4.7675,6.96,3.9585,10
"Elk Grove","CA",38.4161,-121.3842,175510,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Elkridge","MD",39.1941,-76.7428,24115,5.502,4.93475,4.982,6.5145,5.8805,5.7845,8.94466666666666,4.83,4.988,NA,3.9795,2.373,NA,4.062,5.755,3.6665,4.358
"Ellicott City","MD",39.2774,-76.8345,74432,5.502,4.93475,4.982,6.5145,5.8805,5.7845,8.94466666666666,4.83,4.988,NA,3.9795,2.373,NA,4.062,5.755,3.6665,4.358
"Emeryville","CA",37.8382,-122.2932,12747,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Englewood Cliffs","NJ",40.8823,-73.9467,5358,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Englewood","CO",39.6468,-104.9942,33500,8.671,4.53,5.102,6.5145,3.6245,7.11675,8.61566666666667,3.8375,5.4185,6.2235,7.933,5.371,7.8645,4.346,7.8605,4.243,6.117
"Englewood","FL",26.9717,-82.3524,19683,8.671,1.40075,5.253,6.5145,4.2805,7.37875,8.78166666666667,5.696,7.195,6.434,5.497,4.7065,6.347,4.772,5.36,2.9055,3.778
"Englewood","NJ",40.8917,-73.9736,29129,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Eugene","OR",44.0564,-123.1174,273904,8.671,5.2675,4.9725,6.5145,4.1945,8.34525,8.71166666666667,5.4255,5.36225,4.58775,4.9185,5.676,5.02175,3.9205,8.5645,1.71625,3.9315
"Evanston","IL",42.0464,-87.6943,78454,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Everett","MA",42.4064,-71.0545,48368,8.671,4.39625,4.259,6.5145,8.6245,8.1705,8.956,1,5.7005,8.564,5.66,7.742,9.565,4.062,8.4815,3.215,10
"Everett","WA",47.9525,-122.1669,110438,8.671,4.52375,3.79,6.5145,5.7145,7.56025,8.72433333333333,2.291,4.9405,8.1155,7.2095,5.6365,8.367,4.772,8.0895,2.8845,7.551
"Fairfax Station","VA",38.7942,-77.3358,12322,8.671,4.457,3.595,6.5145,5.9685,6.99375,8.49066666666667,1.2105,3.8255,10,5.0235,2.1915,8.774,4.062,6.5495,4.505,8.056
"Fairfax","CA",37.9886,-122.5952,7605,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Fairfax","CA",35.3469,-118.9339,1986,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Fairfax","OH",39.1432,-84.3972,2147,8.671,4.7435,6.108,6.5145,4.2805,7.1095,8.638,6.6775,6.512,6.118,3.6075,4.975,6.0995,3.9205,5.299,1.9265,2.709
"Fairfax","VA",38.8531,-77.2997,23980,8.671,4.457,3.595,6.5145,5.9685,6.99375,8.49066666666667,1.2105,3.8255,10,5.0235,2.1915,8.774,4.062,6.5495,4.505,8.056
"Fairfield","AL",33.4747,-86.9194,10108,8.671,2.02075,5.133,6.5145,3.6245,7.0375,8.74333333333333,6.5555,5.1605,5.3835,1.266,1.776,4.3575,4.204,4.8815,1.4355,1
"Fairfield","CA",38.2583,-122.0335,145163,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Fairfield","IL",38.3798,-88.3723,4982,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Fairfield","OH",39.3301,-84.5409,44550,8.671,4.7435,6.108,6.5145,4.2805,7.1095,8.638,6.6775,6.512,6.118,3.6075,4.975,6.0995,3.9205,5.299,1.9265,2.709
"Fairfield","VA",37.8827,-79.2829,255,8.671,5.6485,5.949,6.5145,3.6245,6.62175,8.85533333333333,6.4395,7.6455,6.3385,1.035,3.3765,4.2705,4.204,7.151,1.38,2.097
"Fairmont","IL",41.5614,-88.0587,2649,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Falls Church","VA",38.8847,-77.1751,14494,8.671,4.457,3.595,6.5145,5.9685,6.99375,8.49066666666667,1.2105,3.8255,10,5.0235,2.1915,8.774,4.062,6.5495,4.505,8.056
"Farmington","IL",40.697,-90.0024,2015,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Farmington","MI",42.4614,-83.3784,11481,8.671,0.933,6.032,6.5145,5.8185,4.04675,8.279,6.223,6.167,7.478,5.3875,4.4615,5.4015,3.7785,3.678,3.6405,5.184
"Farmington","MN",44.6572,-93.1687,23253,8.671,4.925,5.042,6.5145,5.2745,8.362,8.972,4.7385,6.2585,6.8505,5.096,5.085,6.5265,4.062,7.288,3.544,5.523
"Fayetteville","GA",33.4501,-84.471,18633,8.671,3.89775,5.241,6.5145,6.457,5.81775,8.534,4.9755,6.4805,7.7655,5.0095,2.6725,8.835,4.204,4.062,5.2915,7.257
"Fayetteville","NY",43.0308,-75.9984,4282,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Florham Park","NJ",40.7773,-74.3953,12655,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Folsom","CA",38.6668,-121.1422,79201,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Folsom","PA",39.8924,-75.3287,8430,8.671,4.1315,4.422,6.5145,6.0285,5.124,8.62166666666667,4.207,7.443,8.492,4.115,3.133,7.3625,3.7785,5.8645,3.556,5.216
"Fort Collins","CO",40.5477,-105.0656,301596,8.671,2.0075,NA,6.5145,4.1735,9.95325,8.89333333333333,2.7445,5.302,2.746,6.1865,6.9355,4.0435,4.346,9.48,1.102,NA
"Fort Lauderdale","FL",26.1412,-80.1464,182247,8.671,4.05275,4.497,6.5145,4.3945,6.292,8.529,3.031,5.824,6.7675,5.3845,4.321,8.0225,4.772,6.0435,4.169,5.055
"Fort Worth","TX",32.7817,-97.3474,908469,8.671,4.4705,6.091,6.5145,4.284,6.693,8.43933333333333,5.259,6.461,7.1685,4.502,4.339,7.9395,4.772,5.294,4.7465,4.916
"Foster City","CA",37.5553,-122.2659,33511,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Framingham","MA",42.3085,-71.4368,72089,8.671,4.39625,4.259,6.5145,8.6245,8.1705,8.956,1,5.7005,8.564,5.66,7.742,9.565,4.062,8.4815,3.215,10
"Franklin","OH",39.5538,-84.2952,11650,8.671,5.02675,5.746,6.5145,5.0475,8.166,8.689,6.2895,4.5535,6.466,4.545,5.2815,5.8785,3.9205,5.9215,1.663,4.973
"Franklin","PA",40.3418,-78.8841,244,8.671,4.308,4.795,6.5145,6.5935,6.87425,8.58233333333333,5.9635,8.6695,6.859,4.0685,4.791,6.5075,3.7785,7.39,1.738,3.581
"Franklin","PA",41.3936,-79.8425,6128,8.671,4.308,4.795,6.5145,6.5935,6.87425,8.58233333333333,5.9635,8.6695,6.859,4.0685,4.791,6.5075,3.7785,7.39,1.738,3.581
"Franklin","WI",42.8854,-88.0104,36685,8.671,4.915,5.526,6.5145,4.177,7.989,8.59433333333333,6.1225,4.346,6.8375,5.064,4.267,4.8305,4.204,4.844,1.5875,2.005
"Fremont","CA",37.5265,-121.9843,231502,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Fresno","TX",29.5357,-95.4696,23921,8.671,4.03075,6.162,6.5145,4.928,5.3045,8.611,5.2245,6.2485,7.144,5.386,3.129,7.9345,4.772,5.34,4.3385,4.474
"Frisco","TX",33.156,-96.8216,193140,8.671,4.4705,6.091,6.5145,4.284,6.693,8.43933333333333,5.259,6.461,7.1685,4.502,4.339,7.9395,4.772,5.294,4.7465,4.916
"Fullerton","CA",33.8841,-117.9279,142964,8.57466666666667,3.677,4.556,6.5145,8.6245,4.7315,8.43966666666667,1.5275,5.4965,9.196,6.747,5.705,10,4.7675,6.96,3.9585,10
"Gainesville","GA",34.2902,-83.8294,139507,8.671,3.89775,5.241,6.5145,6.457,5.81775,8.534,4.9755,6.4805,7.7655,5.0095,2.6725,8.835,4.204,4.062,5.2915,7.257
"Gainesville","VA",38.7931,-77.6347,17081,8.671,4.457,3.595,6.5145,5.9685,6.99375,8.49066666666667,1.2105,3.8255,10,5.0235,2.1915,8.774,4.062,6.5495,4.505,8.056
"Gaithersburg","MD",39.1346,-77.2131,68827,8.671,4.457,3.595,6.5145,5.9685,6.99375,8.49066666666667,1.2105,3.8255,10,5.0235,2.1915,8.774,4.062,6.5495,4.505,8.056
"Germantown","IL",38.5552,-89.5412,1220,8.671,5.0855,5.504,6.5145,5.2715,7.37425,8.87733333333333,6.958,8.909,7.6425,4.8285,3.8805,5.424,4.062,4.376,2.5315,3.885
"Germantown","TN",35.0829,-89.7824,40955,8.671,1.9175,5.829,6.5145,3.6245,4.54525,7.52366666666667,7.1145,6.07,6.8605,3.5695,2.8585,4.4495,4.772,4.0405,1.6615,NA
"Germantown","WI",43.2343,-88.1217,20780,8.671,4.915,5.526,6.5145,4.177,7.989,8.59433333333333,6.1225,4.346,6.8375,5.064,4.267,4.8305,4.204,4.844,1.5875,2.005
"Gilbert","AZ",33.31,-111.7463,262249,8.671,4.8285,6.208,6.5145,4.591,4.62525,8.56733333333333,6.533,6.178,6.81,6.7355,2.583,6.5085,4.488,5.565,3.3025,4.558
"Gilroy","CA",37.0046,-121.5854,114461,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Glen Allen","VA",37.666,-77.4838,14783,8.671,5.6485,5.949,6.5145,3.6245,6.62175,8.85533333333333,6.4395,7.6455,6.3385,1.035,3.3765,4.2705,4.204,7.151,1.38,2.097
"Glendale","AZ",33.5791,-112.2311,245685,8.671,4.8285,6.208,6.5145,4.591,4.62525,8.56733333333333,6.533,6.178,6.81,6.7355,2.583,6.5085,4.488,5.565,3.3025,4.558
"Glendale","CA",34.1819,-118.2468,196512,8.57466666666667,3.677,4.556,6.5145,8.6245,4.7315,8.43966666666667,1.5275,5.4965,9.196,6.747,5.705,10,4.7675,6.96,3.9585,10
"Glendale","CO",39.7036,-104.9352,4605,8.671,4.53,5.102,6.5145,3.6245,7.11675,8.61566666666667,3.8375,5.4185,6.2235,7.933,5.371,7.8645,4.346,7.8605,4.243,6.117
"Glendale","MO",38.5935,-90.3826,6143,8.671,5.0855,5.504,6.5145,5.2715,7.37425,8.87733333333333,6.958,8.909,7.6425,4.8285,3.8805,5.424,4.062,4.376,2.5315,3.885
"Glendale","OH",39.2706,-84.4584,1930,8.671,4.582375,5.8515,6.5145,4.4495,7.18,8.7685,6.91675,5.99425,5.90725,4.13825,4.306,5.53025,3.9205,5.03725,2.002,3.1775
"Glendale","WI",43.1287,-87.9277,13313,8.671,4.915,5.526,6.5145,4.177,7.989,8.59433333333333,6.1225,4.346,6.8375,5.064,4.267,4.8305,4.204,4.844,1.5875,2.005
"Greenville","GA",33.0322,-84.7163,1186,8.671,3.89775,5.241,6.5145,6.457,5.81775,8.534,4.9755,6.4805,7.7655,5.0095,2.6725,8.835,4.204,4.062,5.2915,7.257
"Greenville","NY",40.9986,-73.8189,9417,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Greenwood Village","CO",39.6153,-104.9131,15548,8.671,4.53,5.102,6.5145,3.6245,7.11675,8.61566666666667,3.8375,5.4185,6.2235,7.933,5.371,7.8645,4.346,7.8605,4.243,6.117
"Hamilton","OH",39.3939,-84.5653,63127,8.671,4.7435,6.108,6.5145,4.2805,7.1095,8.638,6.6775,6.512,6.118,3.6075,4.975,6.0995,3.9205,5.299,1.9265,2.709
"Hanover","IL",42.2553,-90.2737,783,8.671,5.0855,5.504,6.5145,5.2715,7.37425,8.87733333333333,6.958,8.909,7.6425,4.8285,3.8805,5.424,4.062,4.376,2.5315,3.885
"Hanover","MN",45.1579,-93.6634,3501,8.671,4.925,5.042,6.5145,5.2745,8.362,8.972,4.7385,6.2585,6.8505,5.096,5.085,6.5265,4.062,7.288,3.544,5.523
"Harrisburg","NC",35.3125,-80.6485,18415,8.671,4.134,4.987,6.5145,3.6245,8.00925,8.81133333333333,5.549,6.387,5.606,1.3115,5.3475,6.248,4.062,6.7895,3.679,2.878
"Hartford","IL",38.8183,-90.0915,1846,8.671,5.0855,5.504,6.5145,5.2715,7.37425,8.87733333333333,6.958,8.909,7.6425,4.8285,3.8805,5.424,4.062,4.376,2.5315,3.885
"Hartford","WI",43.3223,-88.3784,15526,8.671,4.915,5.526,6.5145,4.177,7.989,8.59433333333333,6.1225,4.346,6.8375,5.064,4.267,4.8305,4.204,4.844,1.5875,2.005
"Hawaiian Gardens","CA",33.8304,-118.0728,14178,8.57466666666667,3.677,4.556,6.5145,8.6245,4.7315,8.43966666666667,1.5275,5.4965,9.196,6.747,5.705,10,4.7675,6.96,3.9585,10
"Hawthorne","CA",33.9147,-118.3476,87863,8.57466666666667,3.677,4.556,6.5145,8.6245,4.7315,8.43966666666667,1.5275,5.4965,9.196,6.747,5.705,10,4.7675,6.96,3.9585,10
"Hawthorne","NJ",40.9579,-74.1582,19507,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Hayward","CA",37.6328,-122.0766,162254,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Hazelwood","MO",38.7931,-90.3899,25466,8.671,5.0855,5.504,6.5145,5.2715,7.37425,8.87733333333333,6.958,8.909,7.6425,4.8285,3.8805,5.424,4.062,4.376,2.5315,3.885
"Herndon","VA",38.9699,-77.3867,24574,8.671,4.457,3.595,6.5145,5.9685,6.99375,8.49066666666667,1.2105,3.8255,10,5.0235,2.1915,8.774,4.062,6.5495,4.505,8.056
"Highland Park","IL",42.1823,-87.8104,30245,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Highland Park","MI",42.4052,-83.0977,9304,8.671,0.933,6.032,6.5145,5.8185,4.04675,8.279,6.223,6.167,7.478,5.3875,4.4615,5.4015,3.7785,3.678,3.6405,5.184
"Highland Park","NJ",40.5006,-74.4283,14947,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Highland Park","TX",32.8311,-96.8012,8895,8.671,4.4705,6.091,6.5145,4.284,6.693,8.43933333333333,5.259,6.461,7.1685,4.502,4.339,7.9395,4.772,5.294,4.7465,4.916
"Hillsboro","MO",38.2331,-90.5671,3425,8.671,5.0855,5.504,6.5145,5.2715,7.37425,8.87733333333333,6.958,8.909,7.6425,4.8285,3.8805,5.424,4.062,4.376,2.5315,3.885
"Hillsboro","OR",45.5273,-122.936,105909,8.671,4.908,4.924,6.5145,4.2155,8.4595,8.59666666666667,4.138,5.9685,6.2195,6.304,5.1805,6.957,3.9205,8.1595,2.2405,5.899
"Hoboken","NJ",40.7452,-74.0281,59369,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Hoffman Estates","IL",42.064,-88.1468,52153,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Hollywood","FL",26.0293,-80.1679,152597,8.671,4.05275,4.497,6.5145,4.3945,6.292,8.529,3.031,5.824,6.7675,5.3845,4.321,8.0225,4.772,6.0435,4.169,5.055
"Honolulu","HI",21.3294,-157.846,835291,8.671,4.16175,2.867,6.5145,4.2805,6.094,8.474,2.3415,6.158,7.623,5.9175,6.8565,4.1335,4.204,7.774,1.983,NA
"Houston","PA",40.2494,-80.211,1224,8.671,4.308,4.795,6.5145,6.5935,6.87425,8.58233333333333,5.9635,8.6695,6.859,4.0685,4.791,6.5075,3.7785,7.39,1.738,3.581
"Houston","TX",29.786,-95.3885,5650910,8.671,4.03075,6.162,6.5145,4.928,5.3045,8.611,5.2245,6.2485,7.144,5.386,3.129,7.9345,4.772,5.34,4.3385,4.474
"Hudson","FL",28.3595,-82.6894,11230,8.671,1.40075,5.253,6.5145,4.2805,7.37875,8.78166666666667,5.696,7.195,6.434,5.497,4.7065,6.347,4.772,5.36,2.9055,3.778
"Hudson","TX",31.3287,-94.8014,4912,8.671,4.03075,6.162,6.5145,4.928,5.3045,8.611,5.2245,6.2485,7.144,5.386,3.129,7.9345,4.772,5.34,4.3385,4.474
"Hudson","WI",44.9639,-92.7312,14500,8.671,4.925,5.042,6.5145,5.2745,8.362,8.972,4.7385,6.2585,6.8505,5.096,5.085,6.5265,4.062,7.288,3.544,5.523
"Huntington Beach","CA",33.696,-118.0018,198735,8.57466666666667,3.677,4.556,6.5145,8.6245,4.7315,8.43966666666667,1.5275,5.4965,9.196,6.747,5.705,10,4.7675,6.96,3.9585,10
"Indianapolis","IN",39.7771,-86.1458,1659305,8.671,4.85875,5.478,6.5145,3.6245,6.1605,8.59766666666667,6.266,5.8755,7.299,3.965,3.968,5.503,4.062,6.87,1.6815,3.96
"Inwood","NY",40.6219,-73.7506,10533,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Irvine","CA",33.6772,-117.7738,297868,8.57466666666667,3.677,4.556,6.5145,8.6245,4.7315,8.43966666666667,1.5275,5.4965,9.196,6.747,5.705,10,4.7675,6.96,3.9585,10
"Irving","TX",32.8583,-96.9702,254184,8.671,4.4705,6.091,6.5145,4.284,6.693,8.43933333333333,5.259,6.461,7.1685,4.502,4.339,7.9395,4.772,5.294,4.7465,4.916
"Iselin","NJ",40.5697,-74.3172,17684,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Issaquah","WA",47.5439,-122.0471,39057,8.671,4.52375,3.79,6.5145,5.7145,7.56025,8.72433333333333,2.291,4.9405,8.1155,7.2095,5.6365,8.367,4.772,8.0895,2.8845,7.551
"Jacksonville","FL",30.3322,-81.6749,1220191,8.671,1.40575,5.359,6.5145,3.6245,7.12025,8.498,6.45,6.1575,5.6545,5.013,3.8255,4.3475,4.772,5.6785,1.5675,2.545
"Jacksonville","OH",39.4761,-82.0796,332,8.671,5.02675,5.746,6.5145,5.0475,8.166,8.689,6.2895,4.5535,6.466,4.545,5.2815,5.8785,3.9205,5.9215,1.663,4.973
"Jamaica Beach","TX",29.1904,-94.98,1037,8.671,4.03075,6.162,6.5145,4.928,5.3045,8.611,5.2245,6.2485,7.144,5.386,3.129,7.9345,4.772,5.34,4.3385,4.474
"Jersey City","NJ",40.7184,-74.0686,287146,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Johnston","IA",41.691,-93.7234,23418,8.671,2.07225,6.327,6.5145,3.6245,8.68225,8.84133333333333,6.851,5.698,6.0665,3.2995,6.984,2.912,4.346,8.4765,1.379,1.818
"Kaneohe","HI",21.4062,-157.7904,34509,8.671,4.16175,2.867,6.5145,4.2805,6.094,8.474,2.3415,6.158,7.623,5.9175,6.8565,4.1335,4.204,7.774,1.983,NA
"Kansas City","KS",39.1235,-94.7443,155745,8.671,1.9725,5.844,6.5145,3.6245,7.9765,8.77566666666667,6.7075,8.1885,6.6745,4.1615,4.4225,2.794,4.062,5.0205,1.869,3.538
"Kansas City","MO",39.1238,-94.5541,1644497,8.671,1.9725,5.844,6.5145,3.6245,7.9765,8.77566666666667,6.7075,8.1885,6.6745,4.1615,4.4225,2.794,4.062,5.0205,1.869,3.538
"Kent","WA",47.3887,-122.2128,134890,8.671,4.52375,3.79,6.5145,5.7145,7.56025,8.72433333333333,2.291,4.9405,8.1155,7.2095,5.6365,8.367,4.772,8.0895,2.8845,7.551
"King of Prussia","PA",40.0963,-75.3821,23841,8.671,4.1315,4.422,6.5145,6.0285,5.124,8.62166666666667,4.207,7.443,8.492,4.115,3.133,7.3625,3.7785,5.8645,3.556,5.216
"Kirkland","WA",47.697,-122.2057,91656,8.671,4.52375,3.79,6.5145,5.7145,7.56025,8.72433333333333,2.291,4.9405,8.1155,7.2095,5.6365,8.367,4.772,8.0895,2.8845,7.551
